Year,USA,Canada,Japan,France,Germany,Italy,UK
1980 ,82.4,76.1,90.9,72.3,86.7,63.2,78.5
1981 ,90.9,85.6,95.3,81.9,92.2,75.4,87.9
1982 ,96.5,94.9,98.1,91.7,97.1,87.7,95.4
1983 ,99.6,100.4,99.8,100.4,100.3,100.8,99.8
1984 ,103.9,104.7,102.1,108.1,102.7,111.5,104.8
1985 ,107.6,109.0,104.2,114.4,104.8,121.1,111.1
1986 ,109.6,113.5,104.9,117.3,104.7,128.5,114.9
1987 ,113.6,118.4,104.9,121.1,104.9,134.4,119.7
1988 ,118.3,123.2,105.6,124.4,106.3,141.1,125.6
1989 ,124.0,129.3,108.0,128.7,109.2,150.4,135.3
1990 ,130.7,135.5,111.4,133.0,112.2,159.6,148.2
1991 ,136.2,143.1,115.0,137.2,116.3,169.8,156.9
1992 ,140.3,145.3,117.0,140.5,122.1,178.8,162.7
1993 ,144.5,147.9,118.5,143.5,127.6,186.4,165.3
1994 ,148.2,148.2,119.3,145.8,131.1,193.7,169.4
1995 ,152.4,151.4,119.2,148.4,133.5,204.1,175.1
1996 ,156.9,153.8,119.3,151.4,135.5,212.0,179.4
1997 ,160.5,156.3,121.5,153.2,137.8,215.7,185.0
1998 ,163.0,157.8,122.2,154.2,139.1,222.5,191.4
1999 ,166.6,160.5,121.8,155.0,140.0,226.2,194.3
2000 ,172.2,164.9,121.0,157.6,142.0,231.9,200.1
2001 ,177.1,169.1,120.1,160.2,144.8,238.3,203.6
2002  ,179.9,172.9,119.0,163.3,146.7,244.3,207.0
2003  ,184.0,177.7,118.7,166.7,148.3,250.8,213.0
2004  ,188.9,181.0,118.7,170.3,150.8,256.3,219.4
2005  ,195.3,184.9,118.3,173.2,153.7,261.3,225.6
