Year,Month,USD
1959,1,138.9
1959,2,139.4
1959,3,139.7
1959,4,139.7
1959,5,140.7
1959,6,141.2
1959,7,141.7
1959,8,141.9
1959,9,141
1959,10,140.5
1959,11,140.4
1959,12,140
1960,1,140
1960,2,139.9
1960,3,139.8
1960,4,139.6
1960,5,139.6
1960,6,139.6
1960,7,140.2
1960,8,141.3
1960,9,141.2
1960,10,140.9
1960,11,140.9
1960,12,140.7
1961,1,141.1
1961,2,141.6
1961,3,141.9
1961,4,142.1
1961,5,142.7
1961,6,142.9
1961,7,142.9
1961,8,143.5
1961,9,143.8
1961,10,144.1
1961,11,144.8
1961,12,145.2
1962,1,145.2
1962,2,145.7
1962,3,146
1962,4,146.4
1962,5,146.8
1962,6,146.6
1962,7,146.5
1962,8,146.6
1962,9,146.3
1962,10,146.7
1962,11,147.3
1962,12,147.8
1963,1,148.3
1963,2,148.9
1963,3,149.2
1963,4,149.7
1963,5,150.4
1963,6,150.4
1963,7,151.3
1963,8,151.8
1963,9,152
1963,10,152.6
1963,11,153.7
1963,12,153.3
1964,1,153.7
1964,2,154.3
1964,3,154.5
1964,4,154.8
1964,5,155.3
1964,6,155.6
1964,7,156.8
1964,8,157.8
1964,9,158.7
1964,10,159.2
1964,11,160
1964,12,160.3
1965,1,160.7
1965,2,160.9
1965,3,161.5
1965,4,162
1965,5,161.7
1965,6,162.2
1965,7,163.1
1965,8,163.7
1965,9,164.9
1965,10,166
1965,11,166.7
1965,12,167.8
1966,1,169.1
1966,2,169.6
1966,3,170.5
1966,4,171.8
1966,5,171.3
1966,6,171.6
1966,7,170.3
1966,8,170.8
1966,9,172
1966,10,171.2
1966,11,171.4
1966,12,172
1967,1,171.9
1967,2,173
1967,3,174.8
1967,4,174.2
1967,5,175.7
1967,6,177
1967,7,178.1
1967,8,179.7
1967,9,180.7
1967,10,181.6
1967,11,182.4
1967,12,183.3
1968,1,184.3
1968,2,184.7
1968,3,185.5
1968,4,186.6
1968,5,188
1968,6,189.4
1968,7,190.5
1968,8,191.8
1968,9,192.7
1968,10,194
1968,11,196
1968,12,197.4
1969,1,198.7
1969,2,199.3
1969,3,200
1969,4,200.7
1969,5,200.8
1969,6,201.3
1969,7,201.7
1969,8,201.7
1969,9,202.1
1969,10,202.9
1969,11,203.6
1969,12,203.9
1970,1,206.2
1970,2,205
1970,3,205.7
1970,4,206.7
1970,5,207.2
1970,6,207.6
1970,7,208
1970,8,209.9
1970,9,211.8
1970,10,212.9
1970,11,213.7
1970,12,214.4
1971,1,215.5
1971,2,217.4
1971,3,218.8
1971,4,220
1971,5,222
1971,6,223.5
1971,7,224.9
1971,8,225.6
1971,9,226.5
1971,10,227.2
1971,11,227.8
1971,12,228.3
1972,1,230.1
1972,2,232.3
1972,3,234.3
1972,4,235.6
1972,5,235.9
1972,6,236.6
1972,7,238.8
1972,8,240.9
1972,9,243.2
1972,10,245
1972,11,246.4
1972,12,249.2
1973,1,251.5
1973,2,252.2
1973,3,251.7
1973,4,252.7
1973,5,254.9
1973,6,256.7
1973,7,257.5
1973,8,257.7
1973,9,257.9
1973,10,259
1973,11,261
1973,12,262.9
1974,1,263.8
1974,2,265.3
1974,3,266.7
1974,4,267.2
1974,5,267.6
1974,6,268.5
1974,7,269.3
1974,8,270.1
1974,9,271
1974,10,272.3
1974,11,273.7
1974,12,274.2
1975,1,273.9
1975,2,275
1975,3,276.4
1975,4,276.2
1975,5,279.2
1975,6,282.4
1975,7,283.7
1975,8,284.1
1975,9,285.7
1975,10,285.4
1975,11,286.8
1975,12,287.1
1976,1,288.4
1976,2,290.8
1976,3,292.7
1976,4,294.7
1976,5,295.9
1976,6,296.2
1976,7,297.2
1976,8,299
1976,9,299.6
1976,10,302
1976,11,303.6
1976,12,306.2
1977,1,308.3
1977,2,311.5
1977,3,313.9
1977,4,316
1977,5,317.2
1977,6,318.8
1977,7,320.2
1977,8,322.3
1977,9,324.5
1977,10,326.4
1977,11,328.6
1977,12,330.9
1978,1,334.4
1978,2,335.3
1978,3,337
1978,4,339.9
1978,5,344.9
1978,6,346.9
1978,7,347.6
1978,8,349.6
1978,9,352.2
1978,10,353.3
1978,11,355.4
1978,12,357.3
1979,1,358.6
1979,2,359.9
1979,3,362.5
1979,4,368
1979,5,369.6
1979,6,373.4
1979,7,377.2
1979,8,378.8
1979,9,379.3
1979,10,380.8
1979,11,380.8
1979,12,381.8
1980,1,385.8
1980,2,390.1
1980,3,388.5
1980,4,383.8
1980,5,384.8
1980,6,389.1
1980,7,394
1980,8,399.2
1980,9,404.8
1980,10,409
1980,11,410.7
1980,12,408.5
1981,1,411.3
1981,2,414.8
1981,3,419
1981,4,427.4
1981,5,424.7
1981,6,425.2
1981,7,427
1981,8,426.9
1981,9,426.9
1981,10,428.4
1981,11,431.2
1981,12,436.7
1982,1,442.7
1982,2,441.9
1982,3,442.7
1982,4,447.2
1982,5,446.7
1982,6,447.5
1982,7,448
1982,8,451.4
1982,9,456.9
1982,10,464.5
1982,11,471.5
1982,12,474.8
1983,1,477.2
1983,2,484.3
1983,3,490.6
1983,4,493.2
1983,5,500
1983,6,504
1983,7,507.8
1983,8,510.5
1983,9,512.8
1983,10,517.2
1983,11,518.9
1983,12,521.4
1984,1,525.1
1984,2,527.5
1984,3,531.4
1984,4,535
1984,5,536.7
1984,6,540.2
1984,7,540.9
1984,8,541
1984,9,543.1
1984,10,543.7
1984,11,547.5
1984,12,551.6
1985,1,556.9
1985,2,563.6
1985,3,566.6
1985,4,570.4
1985,5,575.2
1985,6,582.2
1985,7,589.1
1985,8,596.2
1985,9,603.3
1985,10,607.8
1985,11,612.2
1985,12,619.8
1986,1,621.5
1986,2,625.2
1986,3,633.5
1986,4,640.9
1986,5,652
1986,6,660.6
1986,7,670.3
1986,8,678.7
1986,9,687.4
1986,10,694.9
1986,11,705.4
1986,12,724.7
1987,1,730.2
1987,2,730.7
1987,3,733.8
1987,4,743.9
1987,5,745.9
1987,6,743.2
1987,7,743.1
1987,8,744.9
1987,9,747.5
1987,10,756.2
1987,11,753.2
1987,12,750.2
1988,1,756.2
1988,2,757.8
1988,3,761.7
1988,4,768.1
1988,5,771.7
1988,6,778.4
