Family Income,Number of test takers,Critical Reading (Mean),Critical Reading (SD),Mathematics (Mean),Mathematics (SD),Writing (Mean),Writing (SD)
"< 10,000",40610,427,107,451,122,423,104
10000-20000,72745,453,106,472,113,446,102
20000-30000,61244,454,102,465,107,444,97
30000-40000,83685,476,103,485,106,466,98
40000-50000,75836,489,103,486,105,477,99
50000-60000,80060,497,102,504,104,486,98
60000-70000,75763,504,102,511,103,493,98
70000-80000,81627,508,101,516,103,498,98
80000-100000,130752,520,102,529,104,510,100
>100000,245025,544,105,556,107,537,103
