Year,CLFRPM,CLFPRF,UNRM,UNRF,AHE82,AHE
1980,77.4,51.5,6.9,7.4,7.99,6.84
1981,77.0,52.1,7.4,7.9,7.88,7.43
1982,76.6,52.6,9.9,9.4,7.86,7.86
1983,76.4,52.9,9.9,9.2,7.95,8.19
1984,76.4,53.6,7.4,7.6,7.95,8.48
1985,76.3,54.5,7.0,7.4,7.91,8.73
1986,76.3,55.3,6.9,7.1,7.96,8.92
1987,76.2,56.0,6.2,6.2,7.86,9.13
1988,76.2,56.6,5.5,5.6,7.81,9.43
1989,76.4,57.4,5.2,5.4,7.75,9.80
1990,76.4,57.5,5.7,5.5,7.66,10.19
1991,75.8,57.4,7.2,6.4,7.58,10.50
1992,75.8,57.8,7.9,7.0,7.55,10.76
1993,75.4,57.9,7.2,6.6,7.52,11.03
1994,75.1,58.8,6.2,6.0,7.53,11.32
1995,75.0,58.9,5.6,5.6,7.53,11.64
1996,74.9,59.3,5.4,5.4,7.57,12.03
1997,75.0,59.8,4.9,5.0,7.68,12.49
1998,74.9,59.8,4.4,4.6,7.89,13.00
1999,74.7,60.0,4.1,4.3,8.00,13.47
2000,74.8,59.9,3.9,4.1,8.03,14.00
2001,74.4,59.8,4.8,4.7,8.11,14.53
2002,74.1,59.6,5.9,5.6,8.24,14.95
2003,73.5,59.5,6.3,5.7,8.27,15.35
2004,73.3,59.2,5.6,5.4,8.23,15.67
2005,73.3,59.3,5.1,5.1,8.17,16.11
2006,73.5,59.4,4.6,4.6,8.23,16.73
